time,NIFL-GTGA,NIFL,Nautilus,LC,round-robin,NIFL-GTGA,NIFL,Nautilus,LC,round-robin
0.0,84.91493701934814,68.84852647781372,116.50169849395752,99.35059785842896,93.00283908843994,100.0,100.0,100.0,100.0,100.0
2.5,74.61170196533203,62.21267223358154,94.34553861618042,74.81746673583984,84.13442373275757,100.0,100.0,100.0,100.0,100.0
5.0,74.7613000869751,58.50548982620239,84.26145076751709,77.09861516952515,93.04529428482056,100.0,100.0,100.0,100.0,100.0
7.5,79.61142063140869,58.672614097595215,82.6850438117981,67.11170196533203,83.9162278175354,100.0,100.0,100.0,100.0,100.0
9.5,72.44815111160278,54.25635099411011,178.43374729156494,82.0157527923584,180.57576179504395,100.0,100.0,99.0,100.0,99.0
10.5,962.7424049377441,857.1485352516174,1561.585156917572,1560.696632862091,1359.1392064094543,91.0,92.0,85.0,85.0,87.0
11.5,85.70076704025269,63.09133052825928,1166.0571765899658,1858.777096271515,2058.2082056999207,100.0,100.0,89.0,82.0,80.0
12.5,83.89910221099854,63.20946216583252,371.35599851608276,2063.663122653961,2062.4141907691956,100.0,100.0,97.0,80.0,80.0
13.5,83.6941647529602,49.28668737411499,473.8362741470337,2459.973394870758,1870.365650653839,100.0,100.0,96.0,76.0,82.0
14.5,74.40735101699829,54.84218120574951,572.393696308136,2159.5209407806396,1468.280839920044,100.0,100.0,95.0,79.0,86.0
15.5,74.54183578491211,52.70951271057129,73.39487791061401,76.67191505432129,73.82834911346436,100.0,100.0,100.0,100.0,100.0
17.5,64.4378113746643,57.094788551330566,74.78813648223877,77.00015068054199,82.13040113449097,100.0,100.0,100.0,100.0,100.0
19.5,356.5376806259155,948.400411605835,567.6788854598999,667.5184035301208,471.0323977470398,97.0,91.0,95.0,94.0,96.0
20.5,65.755774974823,65.1584243774414,4341.779782772064,4539.203560352325,4938.413028717041,100.0,100.0,56.99999999999999,55.00000000000001,51.0
21.5,69.71520662307739,68.14251899719238,4540.85752248764,4241.910061836243,4444.935774803162,100.0,100.0,55.00000000000001,57.99999999999999,56.00000000000001
22.5,59.385361671447754,64.3852949142456,4343.608758449554,4440.09507894516,4540.777523517609,100.0,100.0,56.99999999999999,56.00000000000001,55.00000000000001
23.5,67.83429622650146,53.39381694793701,4739.874093532562,4045.9152936935425,5036.779191493988,100.0,100.0,53.0,60.0,50.0
24.5,55.76585531234741,62.60334014892578,5056.993918418884,4703.435342311859,4706.683638095856,100.0,100.0,50.0,54.0,54.0
25.5,56.88052177429199,60.60392618179321,68.56189727783203,75.2371597290039,76.6925311088562,100.0,100.0,100.0,100.0,100.0
27.5,63.72976064682007,53.8336181640625,70.67002296447754,70.49314737319946,71.18352174758911,100.0,100.0,100.0,100.0,100.0
29.5,1151.2721276283264,555.8370137214661,1065.583622455597,769.005172252655,768.3734512329102,89.0,95.0,90.0,93.0,93.0
30.5,54.42129135131836,1031.2963247299194,5151.740338802338,5312.286219596863,4608.800868988037,100.0,94.0,51.0,49.0,55.00000000000001
31.5,350.9174084663391,1101.2761664390564,4673.416094779968,5214.868497848511,4725.94090461731,99.0,92.0,56.00000000000001,49.0,54.0
32.5,223.6329483985901,358.16168785095215,5102.147860527039,4840.307910442352,5197.092800140381,99.0,98.0,52.0,55.00000000000001,50.0
33.5,443.0180358886719,839.5529389381409,5891.644108295441,4911.28297328949,4935.651834011078,100.0,94.0,42.0,52.0,54.0
34.5,55.154945850372314,552.5577688217163,4113.102157115936,4733.151144981384,4505.25260925293,100.0,97.0,69.0,63.0,64.0
35.5,55.93506336212158,47.136900424957275,77.78429508209229,73.16628932952881,79.61241483688354,100.0,100.0,100.0,100.0,100.0
37.5,57.94100999832153,46.92385911941528,75.86777925491333,75.09525299072266,77.59950399398804,100.0,100.0,100.0,100.0,100.0
39.5,56.30446195602417,50.77915668487549,70.10409832000732,75.26866436004639,79.10535097122192,100.0,100.0,100.0,100.0,100.0
