start_time,download_speed,success_rate
0,18.9316999571405,100.0
30,15.393790799935923,100.0
60,22.29105452717033,100.0
90,23.477318301955712,100.0
120,17.33021021981849,100.0
150,18.23185556736683,100.0
180,22.131247362078412,100.0
210,22.406930057846278,100.0
240,18.51053547969999,100.0
270,14.645993308217538,100.0
300,17.02887658389701,100.0
330,21.82900160216001,100.0
360,18.41208872815182,100.0
390,18.65594285505873,100.0
420,19.923032929920474,100.0
450,19.555292525242514,100.0
480,18.941305926689143,100.0
510,23.83379870982482,100.0
540,23.7595959078753,100.0
570,20.535638641538394,100.0
600,17.778942317872293,60.0
630,12.051533912789036,50.0
660,20.09284617821087,50.0
690,21.797723649598037,70.0
720,18.964546621354422,60.0
750,31.311715601279282,90.0
780,17.019646124186465,50.0
810,20.21540815140701,60.0
840,13.803943114551455,40.0
870,18.57604471690332,50.0
900,21.890726770724203,90.0
930,22.95908875044804,100.0
960,22.067563014630487,100.0
990,22.45036821816253,100.0
1020,25.57990942585046,100.0
1050,26.123622268576874,100.0
1080,29.85342343261097,100.0
1110,22.84430608779197,100.0
1140,22.829058731515868,100.0
1170,23.925245758526028,100.0
1200,17.90993062667792,70.0
1230,16.88247706742913,60.0
1260,10.145440804614488,40.0
1290,16.238414352146584,60.0
1320,19.150221462180017,70.0
1350,14.051384866712572,50.0
1380,15.655989609660955,60.0
1410,14.207253976966475,60.0
1440,13.427269665577409,50.0
1470,15.997573628357134,80.0
1500,9.873301415064443,100.0
1530,0.1798797800187048,90.0
1560,0.10125722776447557,60.0
1590,0.07301731716736662,50.0
1620,0.04147235631490358,30.0
1650,0.05474022623825332,40.0
1680,0.06011461100874953,40.0
1710,0.13549397789505369,80.0
1740,0.223911357418147,90.0
1770,0.366992584792087,90.0
