start_time,download_speed,success_rate
0,9.205438365289538,100.0
30,16.187926479999742,100.0
60,14.613789233040757,100.0
90,15.686908860071966,100.0
120,11.067102160026227,100.0
150,13.124761439350362,100.0
180,15.491543856768383,100.0
210,16.367207137731754,100.0
240,15.318697455800214,100.0
270,10.055597351887263,100.0
300,13.143355792911379,100.0
330,13.140823225387132,100.0
360,13.296271814793405,100.0
390,10.3596369881246,100.0
420,15.353113417578436,100.0
450,10.192759156273205,100.0
480,12.482102230041523,100.0
510,14.623753179739651,100.0
540,9.147581154134834,100.0
570,11.912371884462377,100.0
600,6.31948050851901,50.0
630,6.475762747271602,50.0
660,4.767700139847666,40.0
690,3.6621974122266705,40.0
720,7.200442436901467,50.0
750,7.8315298650189105,60.0
780,3.6541317750086195,30.0
810,6.769534158132077,40.0
840,2.105967027115555,20.0
870,6.094261739717756,30.0
900,13.114712488696858,90.0
930,12.057839253270233,100.0
960,14.185267852584218,100.0
990,13.401907656610158,100.0
1020,8.37970988796954,100.0
1050,11.166065382008423,100.0
1080,12.456403311163676,100.0
1110,14.918374913218667,100.0
1140,11.184779125611046,100.0
1170,11.665665239922294,100.0
1200,11.077830818384829,70.0
1230,5.069397507749811,50.0
1260,11.740391909271548,70.0
1290,8.892581373603228,60.0
1320,13.643218422480661,90.0
1350,9.491907467004246,50.0
1380,14.104455064579179,90.0
1410,16.43929817980801,100.0
1440,13.55330579924331,80.0
1470,8.829929973010389,60.0
1500,12.460259395191299,90.0
1530,17.39822330419673,100.0
1560,11.25767047309728,100.0
1590,12.699823110156213,100.0
1620,14.256827004915158,100.0
1650,12.187083375118018,100.0
1680,10.475998694259875,100.0
1710,12.006569263231947,100.0
1740,13.52037866248629,100.0
1770,13.604791011037562,100.0
1800,2.0158270452815112,10.0
1830,1.9636733768383219,20.0
1860,1.9845591529456725,10.0
1890,2.0423646198056504,10.0
1920,4.027653143833956,20.0
1950,10.959452844707656,40.0
1980,0.0,0.0
2010,0.0,0.0
2040,2.068291540772495,10.0
2070,2.6304171116371764,30.0
2100,5.852156045930244,100.0
2130,14.20154801544723,100.0
2160,15.26505642742132,100.0
2190,12.599784137670309,100.0
2220,13.78543347423837,100.0
2250,11.481491803659296,100.0
2280,11.790577570516264,100.0
2310,14.459031703390242,100.0
2340,14.443565172671853,100.0
2370,12.968608253955804,100.0
