start_time,download_speed,success_rate
0,12.577512569810432,100.0
30,9.04732498815615,100.0
60,19.878413188310933,100.0
90,11.777406628838479,100.0
120,18.165028447332798,100.0
150,17.807062554332624,100.0
180,12.701705951011723,100.0
210,27.960849671123086,100.0
240,35.71006099706739,100.0
270,25.99836968804303,100.0
300,23.08678093755978,100.0
330,21.31365148940174,100.0
360,14.867066657831804,100.0
390,17.14073244259401,100.0
420,26.60704251953774,100.0
450,11.639153563704868,100.0
480,23.152668724554918,100.0
510,13.109339180440031,100.0
540,13.473641896429342,100.0
570,22.51974289051221,100.0
600,25.480584861115346,66.66666666666666
630,24.05791287026285,100.0
660,10.500667874830294,100.0
690,12.618676620775778,100.0
720,24.819926639536998,100.0
750,19.620072667178427,100.0
780,14.78824680449395,100.0
810,10.118746057122914,100.0
840,18.721154785922,66.66666666666666
870,25.988424567654548,100.0
900,14.792450043731215,100.0
930,22.89982676589609,100.0
960,32.515354473448625,100.0
990,28.06821256140039,100.0
1020,26.639284551834987,100.0
1050,31.49383569304464,100.0
1080,40.75686548271042,100.0
1110,28.720949556349694,100.0
1140,32.21315061490733,100.0
1170,26.729216528565814,100.0
1200,13.882007664202298,33.33333333333333
1230,0.0,0.0
1260,12.282647960938037,33.33333333333333
1290,15.875312344824403,66.66666666666666
1320,18.82083238657793,66.66666666666666
1350,29.00706710634289,100.0
1380,10.901444513980513,33.33333333333333
1410,27.871238916286725,66.66666666666666
1440,10.563924482574981,66.66666666666666
1470,22.284535145396607,100.0
1500,28.342505648785277,100.0
1530,30.696849332007346,100.0
1560,29.026584186864124,100.0
1590,35.29200844117861,100.0
1620,25.01713316793747,100.0
1650,36.56358895281393,100.0
1680,37.96008691386526,100.0
1710,36.220594429500004,100.0
1740,28.261226885424588,100.0
1770,22.436233685703453,100.0
