start_time,download_speed,success_rate
0,10.905233025304634,100.0
30,10.148165840061832,100.0
60,10.52514153704559,100.0
90,14.024285861059644,100.0
120,10.032918264426943,100.0
150,10.799537921956722,100.0
180,9.305520653338531,100.0
210,11.80485633892376,100.0
240,15.951902134154144,100.0
270,8.443136611834245,100.0
300,9.466146151981196,100.0
330,11.286512575993099,100.0
360,10.63404219936734,100.0
390,11.280625104300574,100.0
420,9.737810328830433,100.0
450,15.007168718005564,100.0
480,13.962209874325831,100.0
510,14.717233590292,100.0
540,7.496235919756614,100.0
570,11.823558064671392,100.0
600,4.994381959130801,40.0
630,9.824208204122789,60.0
660,5.279307777879265,50.0
690,5.251088622438103,50.0
720,3.4450611570343335,40.0
750,4.971794938086265,60.0
780,6.53402910594977,50.0
810,12.333568915138851,80.0
840,3.656732470215199,30.0
870,6.212855483493268,50.0
900,10.334020819235212,90.0
930,16.14053794063961,100.0
960,14.697746520346282,100.0
990,12.521603373779687,100.0
1020,12.830691824988886,100.0
1050,14.52119824615255,100.0
1080,15.03182647552461,100.0
1110,10.053710435139406,100.0
1140,11.979317995655691,100.0
1170,7.979270600793079,100.0
1200,12.357697429229816,80.0
1230,8.726631773251992,60.0
1260,8.60199057915005,70.0
1290,12.250240292168067,70.0
1320,10.735013662276874,60.0
1350,8.185013323284902,60.0
1380,10.767895860345682,80.0
1410,11.21459808208262,60.0
1440,9.231219742293643,70.0
1470,6.454637984909534,50.0
1500,11.414668162625864,90.0
1530,7.273234874270277,100.0
1560,12.0485847082749,100.0
1590,16.343628059503875,100.0
1620,8.744049942773765,100.0
1650,12.900150875292633,100.0
1680,11.711591430191207,100.0
1710,9.084315321868196,100.0
1740,9.233128278192082,100.0
1770,10.859548356017118,100.0
1800,3.7588549504157753,40.0
1830,4.6732786126271275,50.0
1860,2.6950521564332797,30.0
1890,3.196092183647191,40.0
1920,3.4670450330160585,50.0
1950,4.773233497233566,40.0
1980,2.5201122349282463,40.0
2010,3.2027775231697833,30.0
2040,2.2852057714548257,30.0
2070,3.7787287143441235,70.0
2100,6.540036991374197,100.0
2130,10.755940674043497,100.0
2160,12.859488702395291,100.0
2190,10.457029179160998,100.0
2220,12.04551181571415,100.0
2250,9.088239073215542,100.0
2280,12.956679776954877,100.0
2310,13.221763522306912,100.0
2340,16.34306396747744,100.0
2370,13.06405678738127,100.0
