start_time,download_speed,success_rate
0,20.11827650332132,100.0
30,16.870782892028313,100.0
60,19.777497003736805,100.0
90,20.517178714682437,100.0
120,16.975254615964396,100.0
150,20.60538766104427,100.0
180,18.637264936962133,100.0
210,21.08819714935274,100.0
240,20.818179349466398,100.0
270,16.63369059235642,100.0
300,17.90417571338518,100.0
330,21.454002872043,100.0
360,17.706147559786878,100.0
390,17.931822774974172,100.0
420,19.224477654635685,100.0
450,21.159940742968228,100.0
480,17.560507034275684,100.0
510,21.19876339273697,100.0
540,18.682613040409727,100.0
570,17.00302772209476,100.0
600,29.648738133053335,80.0
630,22.55134575680551,70.0
660,11.704985333020085,30.0
690,23.157792693611423,70.0
720,23.15896159637598,80.0
750,13.180750149185565,60.0
780,27.50211549212463,80.0
810,22.496280666341125,80.0
840,22.30146010322071,60.0
870,13.82901030950288,40.0
900,24.364704530469922,90.0
930,25.634822393665292,100.0
960,24.528088151572167,100.0
990,23.394512766150093,100.0
1020,23.63560320159476,100.0
1050,24.88283826833687,100.0
1080,26.888682517374058,100.0
1110,26.823091898647544,100.0
1140,26.300879543279507,100.0
1170,22.679859259389552,100.0
1200,23.469123680942598,90.0
1230,13.44344623216826,50.0
1260,22.49506544371699,70.0
1290,20.67829103688748,70.0
1320,12.844468668832803,60.0
1350,9.143275204324137,30.0
1380,25.056016790190366,90.0
1410,9.825477285856687,40.0
1440,11.824410251102615,40.0
1470,20.479305353850858,80.0
1500,6.316859979676949,90.0
1530,0.14119044287043106,70.0
1560,0.09692791376273124,60.0
1590,0.028848950165066382,20.0
1620,0.013585092156639783,10.0
1650,0.05333028479955443,40.0
1680,0.041496373465803295,30.0
1710,0.17992518137866914,100.0
1740,0.23597709420778581,100.0
1770,0.3421052997979377,80.0
