start_time,download_speed,success_rate
0,6.789332793795555,100.0
30,6.48429695616511,100.0
60,7.585169552503213,100.0
90,6.943915797554658,100.0
120,7.463430372934485,100.0
150,11.793692884209499,100.0
180,5.5692460759831235,100.0
210,7.219335809793527,100.0
240,8.078654910935498,100.0
270,6.921818948607824,100.0
300,8.593650098530626,100.0
330,9.59416567199243,100.0
360,9.781501086856512,100.0
390,8.050805312368972,100.0
420,9.361412220647578,100.0
450,5.37063306418245,100.0
480,6.133074661011508,100.0
510,8.937282837103986,100.0
540,7.542087127918307,100.0
570,8.681152978525153,100.0
600,6.75664908969181,56.666666666666664
630,8.351955347693712,80.0
660,11.140402040094395,100.0
690,9.986209904914187,100.0
720,12.173613279201172,100.0
750,5.091118065382175,100.0
780,9.244867510004157,100.0
810,4.982054467498727,100.0
840,10.806206879103707,100.0
870,8.414683535518064,100.0
900,7.517628121547062,100.0
930,8.300525851957632,100.0
960,10.492176853124674,100.0
990,6.470250655410379,100.0
1020,6.891671235437438,100.0
1050,8.596705568805417,100.0
1080,8.955533148381637,100.0
1110,8.302960666631463,100.0
1140,8.301470648800551,100.0
1170,12.298863727648763,100.0
1200,7.142183456858181,60.0
1230,9.990651982302333,100.0
1260,8.402380280189805,100.0
1290,7.927994501442669,100.0
1320,8.119196743360666,100.0
1350,4.06496394896112,100.0
1380,10.510899943801547,100.0
1410,10.922867135715835,100.0
1440,11.418964210998098,100.0
1470,8.20218867473953,100.0
1500,9.600009376073276,100.0
1530,8.180780559239482,100.0
1560,7.451923776118548,100.0
1590,7.632271567424229,100.0
1620,10.166200942166334,100.0
1650,9.697684728423374,100.0
1680,6.616149179863208,100.0
1710,6.111341325064508,100.0
1740,9.020302116286347,100.0
1770,9.119716609231755,100.0
1800,1.7982333356474012,20.0
1830,5.686287168871375,60.0
1860,5.272686480253732,50.0
1890,5.400874985864783,50.0
1920,5.6781975507798705,60.0
1950,8.09076154254089,70.0
1980,10.279619529430894,80.0
2010,8.235733027795545,70.0
2040,4.3492391075909955,50.0
2070,6.047482751560239,60.0
2100,5.030519109915973,100.0
2130,7.5056825528867455,100.0
2160,6.72405161720395,100.0
2190,10.382010284122247,100.0
2220,8.235667808431161,100.0
2250,7.729779938240344,100.0
2280,11.241794145734113,100.0
2310,9.762067946751353,100.0
2340,8.351474627189292,100.0
2370,9.573245953947458,100.0
