start_time,download_speed,success_rate
0,12.004002547794862,100.0
30,12.596257053365408,100.0
60,15.644264790322943,100.0
90,13.9569637772224,100.0
120,18.077299984480145,100.0
150,16.045131099356414,100.0
180,9.003835999459847,100.0
210,16.890113038026477,100.0
240,17.908305497669126,100.0
270,7.290803426286451,100.0
300,15.97161364149185,100.0
330,13.22129085788446,100.0
360,15.213587992327767,100.0
390,16.393981260992394,100.0
420,16.556886199521575,100.0
450,17.093529822505005,100.0
480,16.63737136914584,100.0
510,17.125745332939825,100.0
540,10.377334372967782,100.0
570,18.018718967721956,100.0
600,7.5992826124851325,66.66666666666666
630,8.537155565067,100.0
660,13.34295608867045,83.33333333333334
690,9.255182437738945,83.33333333333334
720,12.002825243836666,100.0
750,10.754102941490311,83.33333333333334
780,8.331432905040954,83.33333333333334
810,7.285834692695727,83.33333333333334
840,7.398161245002494,100.0
870,9.098490997993371,100.0
900,20.626059284557343,100.0
930,28.48388241343073,100.0
960,32.25751575930636,100.0
990,26.829674748941216,100.0
1020,35.97119499923358,100.0
1050,22.274689322362168,100.0
1080,26.809757057757412,100.0
1110,27.74773706404494,100.0
1140,24.944614036655683,100.0
1170,22.50373247096735,100.0
1200,18.309126642642713,50.0
1230,15.834881018625596,50.0
1260,25.715504867023792,66.66666666666666
1290,21.669112294250823,50.0
1320,23.283617324933715,66.66666666666666
1350,37.63126192744205,83.33333333333334
1380,18.460071534167643,50.0
1410,29.106644788551964,83.33333333333334
1440,26.41123894708856,66.66666666666666
1470,14.758194515200927,33.33333333333333
1500,30.757919674032546,100.0
1530,29.549429975040965,100.0
1560,30.62879504077705,100.0
1590,27.003047735076546,100.0
1620,32.35098203291491,100.0
1650,28.707079740368624,100.0
1680,29.201203165394915,100.0
1710,30.33962725746981,100.0
1740,30.557957175139176,100.0
1770,30.712907902849565,100.0
