time,NIFL-GTGA,NIFL,Nautilus,LC,round-robin,NIFL-GTGA,NIFL,Nautilus,LC,round-robin
0.0,197.7603806389703,256.8603939480252,455.38024107615155,233.9377350277371,259.4731145434909,100.0,100.0,100.0,100.0,100.0
2.5,147.2196896870931,183.48084555731882,330.81231647067597,215.456313557095,217.75466865963406,100.0,100.0,100.0,100.0,100.0
5.0,126.03148619333903,173.36541546715628,401.90824137793646,227.39356623755563,204.3736351860894,100.0,100.0,100.0,100.0,100.0
7.5,137.93396684858536,166.9243892033895,371.29667335086395,204.24063470628525,237.2282452053494,100.0,100.0,100.0,100.0,100.0
9.5,150.02460479736328,149.1386042700873,348.5106362236871,211.48364543914795,207.26324187384714,100.0,100.0,100.0,100.0,100.0
10.5,2431.9683180914985,2612.8926833470664,5810.492854648167,4672.932110892402,4595.503197775946,77.77777777777777,76.66666666666667,43.333333333333336,54.444444444444436,55.55555555555555
11.5,278.51414680480957,205.52486843532986,2348.013046052721,4774.5768414603335,4247.1692615085185,100.0,100.0,78.8888888888889,53.333333333333336,58.888888888888886
12.5,230.14630211724173,281.13336298200824,1699.4440688027273,4549.456426832411,4564.404413435194,100.0,100.0,85.55555555555556,55.55555555555555,55.55555555555555
13.5,219.97047795189755,283.8839530944824,2994.0085411071777,4565.203944842021,4142.871647410923,100.0,100.0,73.33333333333333,55.55555555555555,60.0
14.5,201.24793317582873,265.48606819576685,1902.3699124654133,4908.218876520793,4770.59985531701,100.0,100.0,84.44444444444446,52.22222222222223,53.333333333333336
15.5,132.39705032772488,183.01479816436768,326.18033356136743,198.72066179911295,207.9822858174642,100.0,100.0,100.0,100.0,100.0
17.5,144.53311231401233,130.29900921715628,309.80263021257196,187.41972976260715,215.78285164303247,100.0,100.0,100.0,100.0,100.0
19.5,127.19322310553656,241.79049597846134,322.25298351711695,222.59148226843942,175.7867707146539,100.0,98.8888888888889,100.0,100.0,100.0
20.5,128.32268608940973,181.78706963857016,2323.013695081075,1607.5678322050305,1737.816384103563,100.0,100.0,78.8888888888889,85.55555555555556,84.44444444444444
21.5,123.30731815761992,135.4694101545546,2355.0366322199507,1929.674784342448,1856.5820005204944,100.0,100.0,78.8888888888889,82.22222222222223,83.33333333333333
22.5,130.41442765129938,149.9465306599935,1593.4806956185237,1947.159889009264,1936.2810532251995,100.0,100.0,86.66666666666667,82.22222222222223,82.22222222222223
23.5,163.2130649354723,127.50922309027777,1893.4594922595554,1838.9457676145764,1617.8415854771931,100.0,100.0,83.33333333333334,83.33333333333333,85.55555555555556
24.5,136.4636500676473,181.80544111463757,1310.5224291483562,1923.2365661197236,2043.7322457631433,100.0,100.0,88.88888888888887,82.22222222222223,81.11111111111113
25.5,131.45785861545139,139.51111369662814,265.7548983891805,196.64276440938315,212.33466996086966,100.0,100.0,100.0,100.0,100.0
27.5,146.52734862433536,136.4211718241374,314.83320660061304,190.38470586140951,229.43686114417184,100.0,100.0,100.0,100.0,100.0
29.5,230.09454144371878,618.7938133875529,858.3534505632189,598.3377854029337,450.5848858091567,98.8888888888889,95.55555555555556,95.55555555555556,96.66666666666667,97.77777777777779
30.5,1145.9731260935466,2126.300938924154,6352.183315489027,6604.338468445672,7202.3158099916245,93.33333333333333,82.22222222222223,38.888888888888886,35.55555555555555,28.88888888888889
31.5,693.5197459326849,1479.3808513217502,7106.810323397319,6850.812866952685,6724.966247876485,96.66666666666667,88.8888888888889,31.11111111111111,34.44444444444444,34.444444444444436
32.5,1385.488552517361,250.50999058617484,6773.009806209139,6819.002633624606,6821.352418263753,90.0,100.0,33.333333333333336,33.33333333333333,33.33333333333333
33.5,852.4340629577637,1333.4249867333308,6788.99208439721,6565.579713715447,6521.533823013306,94.44444444444446,91.11111111111113,33.333333333333336,36.666666666666664,36.666666666666664
34.5,1147.0579014884102,698.6906078126694,7130.082061555651,6854.81228298611,5989.987042215136,91.1111111111111,97.77777777777777,36.666666666666664,44.44444444444445,50.0
35.5,140.89568720923532,164.89839288923474,312.8769238789876,196.83621459537085,221.23944494459363,100.0,100.0,100.0,100.0,100.0
37.5,141.51248666975235,157.5424856609768,213.96810478634302,209.1627968682183,203.71531115637887,100.0,100.0,100.0,100.0,100.0
39.5,150.0616047117445,142.09925863477918,294.17293071746826,219.5027854707506,204.88398604922824,100.0,100.0,100.0,100.0,100.0
