start_time,download_speed,success_rate
0,12.189413522008891,100.0
30,12.536079303578868,100.0
60,12.81480132737227,100.0
90,15.415296802573645,100.0
120,12.998939336246233,100.0
150,12.019550003844092,100.0
180,15.366501511597287,100.0
210,13.390717093400529,100.0
240,11.90454767147815,100.0
270,12.946222784842968,100.0
300,13.02663451025058,100.0
330,11.634399191342544,100.0
360,12.323973854831202,100.0
390,12.886896097196413,100.0
420,13.677138535341967,100.0
450,11.286336548881774,100.0
480,11.518811406258926,100.0
510,11.072614253223112,100.0
540,10.47402839423784,100.0
570,16.078370115721317,100.0
600,3.3436788131073514,30.0
630,7.157143756990729,60.0
660,7.980393922914557,50.0
690,3.2021018609454863,40.0
720,4.498327969402721,30.0
750,5.802621008497625,50.0
780,8.163830862381683,60.0
810,4.476839980731268,30.0
840,5.735564973873004,40.0
870,4.587931659341754,40.0
900,10.379815755303742,90.0
930,17.887966339875447,100.0
960,14.010030974029812,100.0
990,14.255177069120657,100.0
1020,11.717919618453148,100.0
1050,8.845511960800575,100.0
1080,14.84784528644511,100.0
1110,13.726387079503898,100.0
1140,8.542689900115464,100.0
1170,17.012689715345704,100.0
1200,6.4833810536766805,40.0
1230,8.933483017386894,70.0
1260,9.032326723038773,70.0
1290,11.21280671898502,70.0
1320,11.295176416363278,70.0
1350,14.756016178625051,80.0
1380,12.562876642459269,90.0
1410,8.664848076045784,40.0
1440,10.706379392283695,60.0
1470,8.3816347067771,60.0
1500,14.29326324709337,100.0
1530,13.317230762572432,100.0
1560,16.470179333118285,100.0
1590,11.899274040714399,100.0
1620,12.660438043949592,100.0
1650,14.94520836440193,100.0
1680,12.843494927315813,100.0
1710,12.490505187162677,100.0
1740,13.568145594212911,100.0
1770,11.021995495873202,100.0
1800,1.9303554837789019,60.0
1830,1.9758992741335462,20.0
1860,2.7828541407400946,50.0
1890,2.2732327683597817,50.0
1920,6.212780788061837,50.0
1950,4.261662199151266,30.0
1980,4.887925073832667,40.0
2010,3.327577897515657,40.0
2040,4.151026680017007,40.0
2070,2.9797417314147796,50.0
2100,4.027215574962578,100.0
2130,13.579404497914723,100.0
2160,13.004627077689921,100.0
2190,11.191795879569748,100.0
2220,12.301997759289357,100.0
2250,11.876043284760925,100.0
2280,12.412112304412224,100.0
2310,14.185010531609361,100.0
2340,14.380293973726523,100.0
2370,17.13320463654264,100.0
