start_time,download_speed,success_rate
0,9.4073191704052,100.0
30,5.669181744870259,100.0
60,7.279659989218321,100.0
90,6.016206193428011,100.0
120,5.385872584835745,100.0
150,7.125097511971949,100.0
180,6.1463701125212395,100.0
210,6.097314893540189,100.0
240,11.045569323586108,100.0
270,5.698408832499268,100.0
300,5.578326448961273,100.0
330,6.3946522798398275,100.0
360,8.850619170738492,100.0
390,7.909147662798444,100.0
420,5.489521019440269,100.0
450,5.765371176761214,100.0
480,4.3354628737481145,100.0
510,7.131129750909775,100.0
540,8.04755325494645,100.0
570,7.247318376322625,100.0
600,4.7595129932339155,83.33333333333334
630,4.743608709775573,66.66666666666666
660,3.4241789243610086,50.0
690,4.9356519803671075,100.0
720,4.018464706684434,83.33333333333334
750,7.291468822469927,100.0
780,5.492241220532338,66.66666666666666
810,7.578293248581251,100.0
840,4.54951021377973,83.33333333333334
870,4.555349773895571,100.0
900,5.0553381479637975,100.0
930,6.208577841025427,100.0
960,6.169057846510436,100.0
990,5.102673382670907,100.0
1020,7.901663672353884,100.0
1050,7.760476741335823,100.0
1080,11.031118904691567,100.0
1110,8.468701269429294,100.0
1140,13.412015567320262,100.0
1170,10.16050017870945,100.0
1200,9.692293421277954,83.33333333333334
1230,7.0143594685117465,66.66666666666666
1260,5.8443785821410055,66.66666666666666
1290,3.2124714596683313,33.33333333333333
1320,13.862193848475703,66.66666666666666
1350,11.742064350959474,66.66666666666666
1380,9.31786586321201,66.66666666666666
1410,7.466544807926844,66.66666666666666
1440,7.5185725372875005,66.66666666666666
1470,16.357360375924287,66.66666666666666
1500,10.595031092514,100.0
1530,4.720240712011527,100.0
1560,6.710465373468662,100.0
1590,5.489256436088097,100.0
1620,9.00131528377715,100.0
1650,6.753818589398635,100.0
1680,5.3542370281252225,100.0
1710,6.994936604033973,100.0
1740,8.853697508978373,100.0
1770,5.619150385512447,100.0
1800,2.364991335122235,16.666666666666664
1830,4.037700292058058,33.33333333333333
1860,3.0284477761549113,33.33333333333333
1890,6.7896326497951,83.33333333333334
1920,6.634345153916551,66.66666666666666
1950,4.141352553772268,33.33333333333333
1980,0.0,0.0
2010,2.7682684108860287,50.0
2040,3.9426918507863675,66.66666666666666
2070,5.847442163383973,83.33333333333334
2100,2.726854974221503,100.0
2130,7.705205918714746,100.0
2160,8.015611505987808,100.0
2190,5.478651971254101,100.0
2220,7.272379771795652,100.0
2250,15.13738916531976,100.0
2280,8.339383835795953,100.0
2310,5.53984953097665,100.0
2340,10.37302739036844,100.0
2370,6.438539245124814,100.0
