start_time,response_time,success_rate
0,186.38157844543457,100.0
30,183.31159750620523,100.0
60,166.733447710673,100.0
90,156.1400810877482,100.0
120,128.06274890899658,100.0
150,137.67208258310953,100.0
180,115.13251463572185,100.0
210,133.8976780573527,100.0
240,119.73484357198079,100.0
270,133.62188339233398,100.0
300,120.7776149113973,100.0
330,123.7191120783488,100.0
360,106.65518442789714,100.0
390,120.66030502319336,100.0
420,112.66637643178304,100.0
450,129.95181878407797,100.0
480,116.59297148386638,100.0
510,166.88167254130045,100.0
540,175.66797733306885,100.0
570,162.29450702667236,100.0
600,4404.352259635925,56.666666666666664
630,907.9788208007812,93.33333333333333
660,209.07735029856363,100.0
690,285.83470185597736,100.0
720,296.72097365061444,100.0
750,200.24094581604004,100.0
780,228.75436147054037,100.0
810,242.25931962331137,100.0
840,276.59101486206055,100.0
870,201.82161331176758,100.0
900,211.32671038309732,100.0
930,107.86439577738444,100.0
960,147.68338203430176,100.0
990,125.29456615447998,100.0
1020,134.77578163146973,100.0
1050,132.19637870788574,100.0
1080,109.9408467610677,100.0
1110,114.56615130106609,100.0
1140,125.71433385213216,100.0
1170,111.7909590403239,100.0
1200,110.5473279953003,100.0
1230,114.7016445795695,100.0
1260,99.21310742696126,100.0
1290,109.90982850392659,100.0
1320,104.43023840586345,100.0
1350,126.67817274729411,100.0
1380,114.79647159576416,100.0
1410,144.74287033081055,100.0
1440,139.68887329101562,100.0
1470,128.1616449356079,100.0
1500,121.25673294067383,100.0
1530,114.31889533996582,100.0
1560,125.29536088307698,100.0
1590,143.4734026590983,100.0
1620,134.96673901875815,100.0
1650,125.25291442871094,100.0
1680,123.99098078409831,100.0
1710,154.54259713490805,100.0
1740,107.23032156626384,100.0
1770,432.55642255147296,96.66666666666667
1800,1793.7048276265461,90.0
1830,725.4844109217325,96.66666666666667
1860,1143.066891034444,93.33333333333333
1890,531.1435143152872,96.66666666666667
1920,204.22590573628744,100.0
1950,1385.7865413029988,90.0
1980,1218.9412991205852,93.33333333333333
2010,164.69246546427408,100.0
2040,160.09627183278403,100.0
2070,892.1727736790975,93.33333333333333
2100,202.76737213134766,100.0
2130,131.936248143514,100.0
2160,121.97760740915935,100.0
2190,122.22733497619629,100.0
2220,141.62921905517578,100.0
2250,116.30664666493733,100.0
2280,146.15983168284097,100.0
2310,118.43116283416748,100.0
2340,106.8849245707194,100.0
2370,133.40229988098145,100.0
