start_time,response_time,success_rate
0,68.85872152116565,100.0
30,66.93487299813165,100.0
60,71.64056698481242,100.0
90,68.62825685077244,100.0
120,64.27397463056776,100.0
150,67.31300751368205,100.0
180,59.30041472117106,100.0
210,62.45640516281128,100.0
240,58.46607685089111,100.0
270,63.539512952168785,100.0
300,56.01141717698838,100.0
330,52.95466184616089,100.0
360,53.61424154705471,100.0
390,51.712710327572296,100.0
420,52.54330767525567,100.0
450,53.436753484937874,100.0
480,53.634462091657845,100.0
510,54.511777559916176,100.0
540,54.25102313359579,100.0
570,52.7888364262051,100.0
600,5412.240136994255,46.111111111111114
630,1487.0006839434307,85.55555555555556
660,52.03458865483602,100.0
690,49.88792075051202,100.0
720,51.93586746851603,100.0
750,50.07690853542752,100.0
780,49.63904221852621,100.0
810,49.3868350982666,100.0
840,50.799359215630425,100.0
870,50.24921894073486,100.0
900,56.26617670059204,100.0
930,52.03953186670939,100.0
960,51.765502823723686,100.0
990,50.475055641598175,100.0
1020,50.89751349555121,100.0
1050,49.736649460262726,100.0
1080,49.88424777984619,100.0
1110,50.22612942589654,100.0
1140,50.661044650607636,100.0
1170,493.9868966738383,95.55555555555554
1200,7846.226717366112,21.666666666666668
1230,61.51416434182062,100.0
1260,61.682330237494575,100.0
1290,59.13823843002319,100.0
1320,57.49904182222155,100.0
1350,56.92257351345486,100.0
1380,62.343100706736244,100.0
1410,58.42044618394639,100.0
1440,60.59594286812676,100.0
1470,58.338212966918945,100.0
1500,59.09464491738213,100.0
1530,58.17558368047079,100.0
1560,56.600782606336814,100.0
1590,56.19571076499091,100.0
1620,53.553617000579834,100.0
1650,55.77978955374823,100.0
1680,59.1635545094808,100.0
1710,55.58715528912014,100.0
1740,59.044766426086426,100.0
1770,183.5151897536384,100.0
1800,2230.2734547191194,83.88888888888889
1830,873.0795171525743,96.11111111111113
1860,388.34622833463885,100.0
1890,421.66992955737646,97.77777777777777
1920,340.04923899968463,98.88888888888887
1950,551.2386997540792,99.44444444444444
1980,270.3238023651971,99.44444444444444
2010,504.6208884980943,97.77777777777777
2040,333.8611907429165,99.44444444444444
2070,1020.8778831693861,97.77777777777777
2100,111.97033193376329,100.0
2130,53.138530254364014,100.0
2160,54.63384257422553,100.0
2190,54.96122042338053,100.0
2220,54.4663839870029,100.0
2250,55.45682112375895,100.0
2280,50.97634924782647,100.0
2310,52.79913478427463,100.0
2340,52.2470302051968,100.0
2370,53.42458883921305,100.0
