start_time,download_speed,success_rate
0,14.291701364087714,100.0
30,8.940553510523921,100.0
60,18.72770346313156,100.0
90,15.990786896573459,100.0
120,17.28176222828442,100.0
150,15.826165198721434,100.0
180,13.849322790362223,100.0
210,18.131768751306694,100.0
240,22.178183953169746,100.0
270,24.345987894876814,100.0
300,19.32433543968777,100.0
330,21.357508663616283,100.0
360,19.116719227787737,100.0
390,19.094936300225115,100.0
420,15.717205989064292,100.0
450,9.651666717875571,100.0
480,19.00750916439694,100.0
510,16.315138731190363,100.0
540,18.213683213138694,100.0
570,14.84936657677082,100.0
600,15.387883914380945,77.77777777777777
630,17.288452528530588,88.88888888888887
660,13.186817619226188,100.0
690,11.666131858123025,100.0
720,13.393874864029621,88.88888888888887
750,14.4891001702939,88.88888888888887
780,15.13717303328837,77.77777777777777
810,12.652971370343986,100.0
840,13.635644597461733,77.77777777777777
870,17.296808011984613,100.0
900,21.489605744147998,100.0
930,25.191345512483142,100.0
960,30.48364198980069,100.0
990,28.643750055754385,100.0
1020,28.734265525251715,100.0
1050,24.337577172654125,100.0
1080,32.24022089171158,100.0
1110,30.828390995753654,100.0
1140,28.432664831049493,100.0
1170,28.73005399468539,100.0
1200,6.425596733795685,44.444444444444436
1230,17.5153689363106,66.66666666666667
1260,19.3521246690901,66.66666666666667
1290,17.540471471861196,88.88888888888887
1320,13.9482580729999,88.88888888888887
1350,20.802440999274893,100.0
1380,20.285121309889956,66.66666666666667
1410,11.173131968081641,66.66666666666666
1440,18.57615702772086,88.88888888888887
1470,21.974423994728088,100.0
1500,33.53941759588684,100.0
1530,26.006314156296963,100.0
1560,29.510535419212218,100.0
1590,31.28922193677016,100.0
1620,26.139738833171332,100.0
1650,34.753757591090015,100.0
1680,33.05277658863394,100.0
1710,33.71208246492977,100.0
1740,31.8458374292029,100.0
1770,26.47052202278238,100.0
