time,NIFL-GTGA,NIFL,Nautilus,LC,round-robin,NIFL-GTGA,NIFL,Nautilus,LC,round-robin
0.0,75.91270208358765,65.16408920288086,129.55700159072876,103.65716218948364,89.26437298456828,100.0,100.0,100.0,100.0,100.0
2.5,71.83569669723511,69.66448227564494,106.71298901240031,83.87319246927898,81.91617727279663,100.0,100.0,100.0,100.0,100.0
5.0,69.9265718460083,61.387550830841064,112.56562074025472,82.29885896046956,78.26406558354695,100.0,100.0,100.0,100.0,100.0
7.5,61.832173665364586,59.41838423411051,116.23729467391968,79.76511319478352,85.8967661857605,100.0,100.0,100.0,100.0,100.0
9.5,68.02488168080647,56.516432762145996,100.41708548863728,82.31463432312012,69.3444013595581,100.0,100.0,100.0,100.0,100.0
10.5,730.7694991429647,1381.641415754954,1580.9563557306926,2399.1573532422385,1892.5038933753967,93.33333333333333,86.66666666666667,85.0,76.66666666666667,81.66666666666667
11.5,59.5341682434082,55.0077756245931,598.4596490859985,1897.2173929214478,2230.1906188329062,100.0,100.0,95.0,81.66666666666667,78.33333333333333
12.5,60.711451371510826,53.865981101989746,598.4816074371338,2399.86005226771,2231.1267495155334,100.0,100.0,95.0,76.66666666666667,78.33333333333333
13.5,54.432570934295654,50.47841866811117,939.859656492869,1405.3149143854778,1728.286858399709,100.0,100.0,91.66666666666666,86.66666666666667,83.33333333333334
14.5,58.696627616882324,51.456852753957115,122.31571276982625,2065.305415789286,2062.9173239072165,100.0,100.0,100.0,80.0,80.0
15.5,59.73058144251505,56.164769331614174,110.44886509577434,80.81863323847453,82.70225524902344,100.0,100.0,100.0,100.0,100.0
17.5,56.26800060272217,49.88112449645996,104.42803303400676,77.95306046803792,74.76765314737956,100.0,100.0,100.0,100.0,100.0
19.5,221.94097439448038,545.7162976264954,438.23618094126385,405.4155309995015,75.21726290384929,98.33333333333333,95.0,96.66666666666667,96.66666666666667,100.0
20.5,56.76455100377401,63.33768367767334,4559.128864606221,4377.901554107666,4539.744742711385,100.0,100.0,55.00000000000001,56.666666666666664,55.00000000000001
21.5,55.71484565734863,61.799164613087974,4385.5793714523315,5201.721612612407,4209.031903743744,100.0,100.0,56.666666666666664,48.333333333333336,58.333333333333336
22.5,59.59697564442953,54.87616459528605,4566.455479462941,4873.4387675921125,4711.964591344197,100.0,100.0,55.00000000000001,51.66666666666667,53.333333333333336
23.5,56.190574169158936,57.58553743362427,4892.18430519104,4376.128729184468,5205.209577083588,100.0,100.0,51.66666666666667,56.666666666666664,48.333333333333336
24.5,57.6913317044576,59.058852990468345,4445.347726345062,4735.496822992961,5037.8690759340925,100.0,100.0,56.666666666666664,53.333333333333336,50.0
25.5,57.85962740580241,56.13964796066284,98.49628607432048,80.83574771881104,76.0435422261556,100.0,100.0,100.0,100.0,100.0
27.5,56.835428873697914,58.599273363749184,114.58848317464192,82.15253353118896,77.37784385681152,100.0,100.0,100.0,100.0,100.0
29.5,247.40469455718994,301.8348495165507,474.8072624206543,554.3106238047282,348.7883011500041,100.0,100.0,100.0,96.66666666666667,100.0
30.5,99.81416463851929,819.5284207661947,1746.6283321380615,1441.162137190501,1520.0605312983196,100.0,95.0,90.0,95.0,91.66666666666666
31.5,80.75135946273804,62.4124010403951,2020.2359636624653,1975.0948230425518,1813.2475058237712,100.0,100.0,90.0,90.0,91.66666666666666
32.5,339.95408217112225,110.68710883458455,1212.3501618703206,2324.244240919749,1981.911273797353,98.33333333333333,100.0,95.0,86.66666666666667,90.0
33.5,286.36008501052856,262.6988808314006,1557.977056503296,1053.5534222920735,2118.4070905049643,100.0,100.0,93.33333333333333,98.33333333333333,88.33333333333333
34.5,119.12146011988322,1214.2631371815999,1898.1150190035503,2887.6396854718528,1472.8357911109924,100.0,95.0,96.66666666666667,85.0,98.33333333333333
35.5,56.02116584777832,56.92903995513916,99.2037296295166,80.50533533096313,80.46238819758098,100.0,100.0,100.0,100.0,100.0
37.5,58.073206742604576,55.31236330668131,95.33514181772868,79.08664544423421,76.34400526682536,100.0,100.0,100.0,100.0,100.0
39.5,55.71654240290324,54.97299035390218,113.09153238932292,78.66481145222981,73.41511249542236,100.0,100.0,100.0,100.0,100.0
