time,NIFL-GTGA,NIFL,Nautilus,LC,round-robin,NIFL-GTGA,NIFL,Nautilus,LC,round-robin
0.0,273.94308884938556,221.48537953694662,384.17139053344727,232.66887346903482,228.19000403086343,100.0,100.0,100.0,100.0,100.0
2.5,116.63853009541829,160.39343992869058,330.964256922404,190.52359263102213,213.44051837921143,100.0,100.0,100.0,100.0,100.0
5.0,134.79384263356528,151.08128229777017,260.32739957173663,227.06312815348306,232.77143319447836,100.0,100.0,100.0,100.0,100.0
7.5,115.25391260782878,148.61359437306723,356.9029140472412,188.2184648513794,229.3614133199056,100.0,100.0,100.0,100.0,100.0
9.5,120.34106095631917,361.7709159851074,190.31031767527261,174.54840342203775,202.51976490020752,100.0,98.0,100.0,100.0,100.0
10.5,2480.598735809326,1907.9858303070068,4742.578083674113,4696.281277338664,4522.194922765096,77.33333333333333,83.33333333333333,54.0,54.0,56.00000000000001
11.5,241.71639442443848,256.37654463450116,2676.2724590301514,4432.262194951375,4846.088881492615,100.0,100.0,75.33333333333333,56.666666666666664,52.666666666666664
12.5,276.6256332397461,359.0281915664673,2246.816414197286,4180.089612007141,4719.457934697469,100.0,100.0,80.0,59.333333333333336,54.0
13.5,243.02725791931152,254.74010944366455,1040.1374530792236,4304.84044233958,4584.601232210795,100.0,100.0,92.0,58.0,55.333333333333336
14.5,265.5115334192912,366.1599763234456,1396.7178773880005,4496.9015375773115,4640.886831283569,100.0,100.0,88.0,56.0,54.666666666666664
15.5,134.79467550913492,199.13200537363687,242.18890190124512,185.5027993520101,209.08379554748535,100.0,100.0,100.0,100.0,100.0
17.5,109.51109568277995,158.10423374176025,258.2567596435547,163.74444961547852,213.45677693684897,100.0,100.0,100.0,100.0,100.0
19.5,242.44367440541586,160.8997392654419,299.7010215123494,158.22065671284994,262.71832784016925,98.66666666666667,100.0,99.33333333333333,100.0,99.33333333333333
20.5,113.7550147374471,144.6094512939453,1649.775915145874,1871.1217912038167,2083.2035970687866,100.0,100.0,85.33333333333333,82.66666666666667,80.66666666666667
21.5,109.40679391225179,293.15841992696124,1831.2843036651611,1992.0749807357788,1818.1579605738323,100.0,100.0,83.33333333333333,81.33333333333333,83.33333333333333
22.5,103.07425181070964,144.88338629404703,2132.0762634277344,1723.9370330174763,1879.1231393814087,100.0,100.0,80.0,84.0,82.66666666666667
23.5,101.37482166290283,139.20466581980386,2020.6248267491658,1916.19882106781,1742.6556777954102,100.0,100.0,81.33333333333333,82.0,84.0
24.5,102.84748236338298,159.9088954925537,1505.2497466405232,1848.6167176564534,2105.6945673624673,100.0,100.0,86.66666666666667,82.66666666666667,80.66666666666667
25.5,100.85012912750244,169.61473941802979,188.80645275115967,161.43794377644858,179.1612974802653,100.0,100.0,100.0,100.0,100.0
27.5,108.80951086680095,227.42614587148032,217.39446640014648,153.08873812357584,200.51026821136475,100.0,100.0,100.0,100.0,100.0
29.5,647.1133613586426,643.9684152603149,667.1516831715902,782.7271779378256,989.5998191833496,95.33333333333333,96.0,96.0,94.66666666666667,92.0
30.5,1446.4388195673625,2688.947925567627,6565.234279632568,6932.425309816997,6980.2182420094805,88.66666666666667,75.33333333333333,36.0,32.0,32.0
31.5,1151.3931878407795,2071.893900235494,5948.297521273295,6733.138899803162,6808.169800440471,91.33333333333333,82.0,42.0,34.0,33.333333333333336
32.5,484.07922744750977,2112.125860850016,7273.857102394104,7022.059623400371,6680.332279205322,97.33333333333333,81.33333333333333,28.666666666666668,30.666666666666668,34.0
33.5,669.5736773808798,4277.756598790486,7301.171243985494,6671.862641970317,6791.597949663798,95.33333333333333,60.666666666666664,28.0,34.666666666666664,33.333333333333336
34.5,826.7647234598795,3220.3259309132895,6725.40155728658,6525.753178596497,6420.318733851115,96.66666666666667,76.0,43.333333333333336,45.333333333333336,48.0
35.5,100.42969385782878,134.0990654627482,189.56833203633627,160.90551376342773,174.1799052556356,100.0,100.0,100.0,100.0,100.0
37.5,98.07597637176514,198.73517990112305,212.89900620778403,157.6217555999756,176.1465040842692,100.0,100.0,100.0,100.0,100.0
39.5,98.061629931132,160.2688773473104,191.39910380045572,157.21497535705566,176.3758087158203,100.0,100.0,100.0,100.0,100.0
