start_time,download_speed,success_rate
0,7.768614394803936,100.0
30,7.0507888959651375,100.0
60,7.441290240846787,100.0
90,10.80334417454896,100.0
120,4.799967487348634,100.0
150,10.71383817513329,100.0
180,5.838459513983061,100.0
210,11.494291165861119,100.0
240,7.184672382712928,100.0
270,10.019514530781903,100.0
300,8.078589545837863,100.0
330,10.348206096997108,100.0
360,8.642232899626572,100.0
390,12.044722566602763,100.0
420,8.55438389085184,100.0
450,8.644702409712092,100.0
480,10.484919038096507,100.0
510,10.87955169974562,100.0
540,7.90190586294768,100.0
570,6.243849419289494,100.0
600,5.919222601799881,50.0
630,8.125925130701722,100.0
660,11.778277329904045,100.0
690,7.862045945056738,100.0
720,6.422394426085475,100.0
750,7.869020074383322,100.0
780,10.51798688421328,100.0
810,7.422684634439495,100.0
840,9.736057942509866,100.0
870,10.445748079625098,100.0
900,7.414387906722443,100.0
930,7.977180126852487,100.0
960,11.365407212126158,100.0
990,5.972088768431624,100.0
1020,6.883589769755242,100.0
1050,7.255502479781761,100.0
1080,8.603984770310975,100.0
1110,10.229341081138573,100.0
1140,9.237198597137628,100.0
1170,8.263236018150002,100.0
1200,11.324484572541193,100.0
1230,11.023204944923767,100.0
1260,11.409781923602393,100.0
1290,8.877179165703142,100.0
1320,9.095129998074755,100.0
1350,9.35177752935676,100.0
1380,7.905247561489349,100.0
1410,9.398435449912535,100.0
1440,8.294210581394344,100.0
1470,8.849053235030192,100.0
1500,13.278023123601246,100.0
1530,8.585048873741355,100.0
1560,7.049582961691947,100.0
1590,11.277453917216604,100.0
1620,9.462458162655782,100.0
1650,6.665554391845739,100.0
1680,10.229879124610362,100.0
1710,9.0085962425495,100.0
1740,9.400860651957808,100.0
1770,6.177274770134652,100.0
1800,6.978380189517672,66.66666666666666
1830,3.7012691024188253,33.33333333333333
1860,4.513616864039899,50.0
1890,2.6192964668475165,50.0
1920,2.6014350195298235,33.33333333333333
1950,2.979436940877654,16.666666666666664
1980,3.898976960940859,50.0
2010,2.1094953324027403,50.0
2040,2.5257073116736692,33.33333333333333
2070,4.160298240353944,66.66666666666666
2100,5.947869844414613,100.0
2130,6.78617544520171,100.0
2160,9.72547856730266,100.0
2190,7.490683029932165,100.0
2220,9.515190424241052,100.0
2250,10.480249856400395,100.0
2280,9.307198407141302,100.0
2310,6.672011755617812,100.0
2340,11.453321260300314,100.0
2370,10.461438899884499,100.0
